CosechaID,FechaID,FechaCosecha,FundoID,ParcelaID,CuadrillaID,ProductorID,LoteCampoID,Campania,KgCosechados,KgRechazadosCampo,HorasHombre,CostoCosechaSoles
104,20220805,2022-08-05,FND0004,PAR00011,CUAD012,PROD004,LC-2022-000104,2022,6761.86,322.4,65.36,5490.12
114,20221115,2022-11-15,FND0007,PAR00015,CUAD007,PROD007,LC-2022-000114,2022,8198.76,618.16,161.0,7182.71
115,20220610,2022-06-10,FND0007,PAR00016,CUAD007,PROD007,LC-2022-000115,2022,9961.08,789.95,115.05,8935.5
120,20220510,2022-05-10,FND0008,PAR00019,CUAD006,PROD007,LC-2022-000120,2022,14421.97,1028.33,360.55,12614.16
136,20220811,2022-08-11,FND0008,PAR00020,CUAD017,PROD007,LC-2022-000136,2022,818.4,54.41,11.59,661.12
150,20220923,2022-09-23,FND0008,PAR00022,CUAD011,PROD007,LC-2022-000150,2022,904.59,73.83,11.35,719.39
151,20221013,2022-10-13,FND0008,PAR00022,CUAD018,PROD007,LC-2022-000151,2022,4923.81,338.53,51.29,3928.69
174,20220618,2022-06-18,FND0008,PAR00024,CUAD014,PROD007,LC-2022-000174,2022,12908.4,978.17,198.02,10602.8
178,20220822,2022-08-22,FND0008,PAR00024,CUAD002,PROD007,LC-2022-000178,2022,3959.82,196.64,40.69,3074.05
182,20221108,2022-11-08,FND0008,PAR00024,CUAD007,PROD007,LC-2022-000182,2022,590.05,33.24,8.04,543.23
201,20220615,2022-06-15,FND0009,PAR00026,CUAD012,PROD007,LC-2022-000201,2022,10811.8,766.23,133.23,6854.06
219,20221005,2022-10-05,FND0009,PAR00027,CUAD003,PROD007,LC-2022-000219,2022,7573.61,330.69,89.91,6519.5
222,20221226,2022-12-26,FND0009,PAR00027,CUAD016,PROD007,LC-2022-000222,2022,11159.19,538.95,116.73,9367.6
231,20220718,2022-07-18,FND0009,PAR00029,CUAD010,PROD007,LC-2022-000231,2022,23199.06,787.87,199.83,18432.1
246,20221216,2022-12-16,FND0009,PAR00029,CUAD005,PROD007,LC-2022-000246,2022,3262.96,220.89,37.63,2777.75
248,20220526,2022-05-26,FND0009,PAR00030,CUAD008,PROD007,LC-2022-000248,2022,13076.57,349.31,100.67,9678.93
252,20220723,2022-07-23,FND0009,PAR00030,CUAD012,PROD007,LC-2022-000252,2022,26112.15,1869.84,265.98,20112.87
264,20220524,2022-05-24,FND0009,PAR00031,CUAD014,PROD007,LC-2022-000264,2022,9395.56,505.17,131.28,8966.76
291,20220614,2022-06-14,FND0010,PAR00034,CUAD014,PROD008,LC-2022-000291,2022,4731.12,356.79,43.88,3534.81
294,20220822,2022-08-22,FND0010,PAR00034,CUAD014,PROD008,LC-2022-000294,2022,15622.48,774.12,204.15,14665.12
305,20220727,2022-07-27,FND0010,PAR00035,CUAD017,PROD008,LC-2022-000305,2022,11671.44,486.07,183.49,11411.23
312,20221020,2022-10-20,FND0010,PAR00035,CUAD017,PROD008,LC-2022-000312,2022,16696.4,1030.59,261.91,13959.92
322,20221101,2022-11-01,FND0011,PAR00037,CUAD015,PROD008,LC-2022-000322,2022,10426.27,344.09,103.54,9094.84
328,20220816,2022-08-16,FND0011,PAR00038,CUAD001,PROD008,LC-2022-000328,2022,12412.91,898.79,133.53,10460.23
334,20220622,2022-06-22,FND0011,PAR00039,CUAD016,PROD008,LC-2022-000334,2022,10564.57,799.13,180.37,8685.3
354,20220627,2022-06-27,FND0012,PAR00041,CUAD016,PROD009,LC-2022-000354,2022,5572.88,492.76,54.71,3703.54
358,20220819,2022-08-19,FND0012,PAR00041,CUAD004,PROD009,LC-2022-000358,2022,20575.55,1635.65,189.5,19648.02
361,20221031,2022-10-31,FND0012,PAR00041,CUAD008,PROD009,LC-2022-000361,2022,8510.37,462.62,95.25,8705.23
374,20220513,2022-05-13,FND0013,PAR00043,CUAD011,PROD010,LC-2022-000374,2022,8183.59,649.49,63.68,5591.5
380,20220824,2022-08-24,FND0013,PAR00043,CUAD004,PROD010,LC-2022-000380,2022,22168.22,1051.85,320.82,21641.7
386,20220107,2022-01-07,FND0013,PAR00044,CUAD002,PROD010,LC-2022-000386,2022,7538.6,531.07,93.27,6246.27
397,20220808,2022-08-08,FND0013,PAR00044,CUAD012,PROD010,LC-2022-000397,2022,5054.7,367.15,37.33,4074.08
400,20220914,2022-09-14,FND0013,PAR00044,CUAD002,PROD010,LC-2022-000400,2022,3515.48,264.21,43.45,2778.61
411,20220502,2022-05-02,FND0014,PAR00045,CUAD010,PROD011,LC-2022-000411,2022,7551.8,540.43,91.52,6130.25
425,20221007,2022-10-07,FND0014,PAR00045,CUAD001,PROD011,LC-2022-000425,2022,14276.76,872.64,212.01,11426.65
430,20220727,2022-07-27,FND0014,PAR00047,CUAD008,PROD011,LC-2022-000430,2022,1406.24,95.49,15.48,1141.96
435,20220721,2022-07-21,FND0014,PAR00048,CUAD007,PROD011,LC-2022-000435,2022,6632.22,714.14,79.14,5312.89
451,20220528,2022-05-28,FND0015,PAR00051,CUAD017,PROD011,LC-2022-000451,2022,2854.59,70.53,30.08,2706.51
456,20220705,2022-07-05,FND0015,PAR00051,CUAD009,PROD011,LC-2022-000456,2022,10170.57,721.53,144.38,7902.02
458,20220719,2022-07-19,FND0015,PAR00051,CUAD004,PROD011,LC-2022-000458,2022,10285.22,484.31,104.75,7508.23
462,20220825,2022-08-25,FND0015,PAR00051,CUAD005,PROD011,LC-2022-000462,2022,3281.91,127.81,44.33,3334.24
469,20221025,2022-10-25,FND0015,PAR00051,CUAD010,PROD011,LC-2022-000469,2022,14307.63,1159.61,153.5,9875.16
474,20220505,2022-05-05,FND0016,PAR00052,CUAD010,PROD012,LC-2022-000474,2022,5115.8,347.59,42.6,3938.12
477,20220624,2022-06-24,FND0016,PAR00052,CUAD011,PROD012,LC-2022-000477,2022,10442.18,669.21,117.24,8777.19
488,20220928,2022-09-28,FND0016,PAR00052,CUAD004,PROD012,LC-2022-000488,2022,7813.34,408.34,79.09,6416.78
512,20220910,2022-09-10,FND0017,PAR00055,CUAD006,PROD013,LC-2022-000512,2022,617.31,34.71,10.62,520.77
519,20220512,2022-05-12,FND0017,PAR00056,CUAD008,PROD013,LC-2022-000519,2022,15809.27,1071.65,177.87,13358.36
534,20220829,2022-08-29,FND0017,PAR00057,CUAD011,PROD013,LC-2022-000534,2022,27159.63,1880.74,273.66,18988.98
536,20220916,2022-09-16,FND0017,PAR00057,CUAD006,PROD013,LC-2022-000536,2022,2434.95,170.51,27.95,1171.79
539,20220502,2022-05-02,FND0017,PAR00058,CUAD002,PROD013,LC-2022-000539,2022,12905.41,1173.33,144.48,10516.3
544,20221022,2022-10-22,FND0017,PAR00058,CUAD012,PROD013,LC-2022-000544,2022,5163.38,443.75,80.08,4121.13
555,20220524,2022-05-24,FND0018,PAR00062,CUAD001,PROD013,LC-2022-000555,2022,5799.69,333.94,63.39,5428.18
587,20221213,2022-12-13,FND0019,PAR00065,CUAD005,PROD014,LC-2022-000587,2022,14318.44,731.87,140.56,13164.48
609,20220819,2022-08-19,FND0021,PAR00069,CUAD014,PROD016,LC-2022-000609,2022,17369.07,902.97,262.29,13875.18
612,20221129,2022-11-29,FND0021,PAR00069,CUAD002,PROD016,LC-2022-000612,2022,25261.44,1489.05,244.66,17012.34
614,20220531,2022-05-31,FND0022,PAR00071,CUAD014,PROD017,LC-2022-000614,2022,9786.03,543.94,100.08,9850.31
625,20220923,2022-09-23,FND0022,PAR00071,CUAD009,PROD017,LC-2022-000625,2022,6605.85,353.01,79.1,5210.33
648,20221013,2022-10-13,FND0022,PAR00073,CUAD015,PROD017,LC-2022-000648,2022,2955.42,208.75,43.93,2474.88
654,20220121,2022-01-21,FND0022,PAR00074,CUAD007,PROD017,LC-2022-000654,2022,16800.86,1195.82,182.66,15085.12
674,20220905,2022-09-05,FND0023,PAR00076,CUAD008,PROD017,LC-2022-000674,2022,13297.47,509.23,141.31,12543.05
677,20220714,2022-07-14,FND0023,PAR00077,CUAD014,PROD017,LC-2022-000677,2022,3322.92,267.08,48.79,2555.46
684,20220618,2022-06-18,FND0023,PAR00078,CUAD018,PROD017,LC-2022-000684,2022,5615.62,403.2,57.29,4255.37
705,20220620,2022-06-20,FND0023,PAR00080,CUAD014,PROD017,LC-2022-000705,2022,12626.72,932.32,108.39,12444.26
709,20220728,2022-07-28,FND0023,PAR00080,CUAD003,PROD017,LC-2022-000709,2022,19560.03,410.84,247.53,16643.36
721,20221107,2022-11-07,FND0023,PAR00080,CUAD010,PROD017,LC-2022-000721,2022,4419.27,211.08,85.39,3608.63
725,20220507,2022-05-07,FND0024,PAR00082,CUAD018,PROD018,LC-2022-000725,2022,9614.26,1064.97,105.99,8306.83
733,20220730,2022-07-30,FND0024,PAR00082,CUAD016,PROD018,LC-2022-000733,2022,14723.73,1089.86,140.06,11965.85
742,20221019,2022-10-19,FND0024,PAR00082,CUAD004,PROD018,LC-2022-000742,2022,10888.32,476.63,133.03,6669.75
745,20221114,2022-11-14,FND0024,PAR00082,CUAD010,PROD018,LC-2022-000745,2022,6464.22,573.9,65.83,6240.95
748,20220131,2022-01-31,FND0024,PAR00083,CUAD006,PROD018,LC-2022-000748,2022,4750.44,290.56,54.3,4295.5
750,20220518,2022-05-18,FND0024,PAR00083,CUAD011,PROD018,LC-2022-000750,2022,6847.22,245.9,109.86,5033.68
764,20220917,2022-09-17,FND0024,PAR00083,CUAD009,PROD018,LC-2022-000764,2022,6228.65,348.82,74.07,6269.46
773,20220525,2022-05-25,FND0024,PAR00085,CUAD001,PROD018,LC-2022-000773,2022,11152.76,655.36,183.43,7680.13
796,20220820,2022-08-20,FND0024,PAR00086,CUAD014,PROD018,LC-2022-000796,2022,34916.63,805.11,439.99,24644.78
812,20220914,2022-09-14,FND0025,PAR00088,CUAD002,PROD018,LC-2022-000812,2022,17212.72,1379.53,230.38,15084.07
813,20220927,2022-09-27,FND0025,PAR00088,CUAD009,PROD018,LC-2022-000813,2022,7915.54,291.25,92.88,5669.69
829,20220913,2022-09-13,FND0025,PAR00089,CUAD008,PROD018,LC-2022-000829,2022,15222.06,923.89,201.41,12305.93
840,20220729,2022-07-29,FND0025,PAR00091,CUAD004,PROD018,LC-2022-000840,2022,5139.03,299.0,60.04,5429.84
851,20220728,2022-07-28,FND0025,PAR00092,CUAD018,PROD018,LC-2022-000851,2022,4543.47,268.91,45.15,4107.97
885,20220606,2022-06-06,FND0026,PAR00096,CUAD015,PROD018,LC-2022-000885,2022,15482.2,745.04,231.32,10617.4
896,20221004,2022-10-04,FND0026,PAR00096,CUAD016,PROD018,LC-2022-000896,2022,17200.89,630.33,164.63,13031.13
903,20220614,2022-06-14,FND0026,PAR00097,CUAD005,PROD018,LC-2022-000903,2022,12588.81,942.35,150.0,10205.38
922,20220714,2022-07-14,FND0026,PAR00099,CUAD008,PROD018,LC-2022-000922,2022,16604.85,1202.61,230.51,13733.33
928,20220907,2022-09-07,FND0026,PAR00099,CUAD015,PROD018,LC-2022-000928,2022,9007.25,895.18,159.4,9395.96
931,20221010,2022-10-10,FND0026,PAR00099,CUAD009,PROD018,LC-2022-000931,2022,5500.27,257.09,87.08,4326.86
938,20220621,2022-06-21,FND0027,PAR00100,CUAD014,PROD019,LC-2022-000938,2022,4658.1,443.53,49.34,5057.56
945,20220930,2022-09-30,FND0027,PAR00100,CUAD011,PROD019,LC-2022-000945,2022,27682.11,1987.22,350.45,20499.2
968,20220527,2022-05-27,FND0028,PAR00102,CUAD006,PROD020,LC-2022-000968,2022,19855.7,1376.67,323.51,17894.63
971,20220709,2022-07-09,FND0028,PAR00102,CUAD008,PROD020,LC-2022-000971,2022,9589.06,896.45,133.09,9751.81
980,20221014,2022-10-14,FND0028,PAR00102,CUAD007,PROD020,LC-2022-000980,2022,6370.9,578.46,85.99,6218.94
994,20220929,2022-09-29,FND0029,PAR00104,CUAD016,PROD021,LC-2022-000994,2022,8443.79,472.01,117.38,6098.57
1003,20221005,2022-10-05,FND0029,PAR00105,CUAD017,PROD021,LC-2022-001003,2022,5218.38,181.21,58.73,4342.18
1007,20220623,2022-06-23,FND0029,PAR00106,CUAD018,PROD021,LC-2022-001007,2022,7991.63,613.71,91.14,7549.38
1011,20220813,2022-08-13,FND0029,PAR00106,CUAD005,PROD021,LC-2022-001011,2022,15436.85,887.57,177.19,7533.71
1023,20220729,2022-07-29,FND0029,PAR00107,CUAD003,PROD021,LC-2022-001023,2022,6113.41,434.59,152.84,5666.86
1040,20220907,2022-09-07,FND0029,PAR00108,CUAD003,PROD021,LC-2022-001040,2022,10806.25,529.62,166.11,8649.64
1044,20220103,2022-01-03,FND0029,PAR00109,CUAD006,PROD021,LC-2022-001044,2022,16663.49,676.58,148.62,12209.62
1054,20220803,2022-08-03,FND0029,PAR00109,CUAD017,PROD021,LC-2022-001054,2022,9470.79,614.75,112.85,9447.18
1062,20221019,2022-10-19,FND0029,PAR00109,CUAD007,PROD021,LC-2022-001062,2022,24277.65,1176.42,352.73,24838.55
1079,20221110,2022-11-10,FND0030,PAR00110,CUAD004,PROD021,LC-2022-001079,2022,1156.67,69.3,15.15,929.46
1086,20220827,2022-08-27,FND0030,PAR00111,CUAD008,PROD021,LC-2022-001086,2022,6727.15,503.95,75.92,5602.91
1087,20220903,2022-09-03,FND0030,PAR00111,CUAD007,PROD021,LC-2022-001087,2022,10323.23,320.99,107.77,8826.99
1108,20220829,2022-08-29,FND0030,PAR00114,CUAD008,PROD021,LC-2022-001108,2022,10422.18,419.02,97.37,7363.22
1115,20220607,2022-06-07,FND0030,PAR00116,CUAD011,PROD021,LC-2022-001115,2022,10428.92,805.13,143.61,7842.73
1122,20220517,2022-05-17,FND0031,PAR00117,CUAD003,PROD022,LC-2022-001122,2022,12216.27,653.25,146.9,11095.12
1143,20220909,2022-09-09,FND0031,PAR00119,CUAD006,PROD022,LC-2022-001143,2022,8913.45,590.89,148.92,8131.75
1154,20220718,2022-07-18,FND0032,PAR00120,CUAD007,PROD022,LC-2022-001154,2022,2939.82,158.84,29.19,2317.38
1158,20221130,2022-11-30,FND0032,PAR00120,CUAD003,PROD022,LC-2022-001158,2022,35585.91,2789.8,674.7,28239.43
1167,20220720,2022-07-20,FND0032,PAR00121,CUAD005,PROD022,LC-2022-001167,2022,12690.95,765.46,133.45,11404.35
1176,20220927,2022-09-27,FND0032,PAR00121,CUAD008,PROD022,LC-2022-001176,2022,6567.5,398.67,73.98,4988.54
1179,20221011,2022-10-11,FND0032,PAR00121,CUAD018,PROD022,LC-2022-001179,2022,3478.53,127.12,44.4,2822.78
1198,20220924,2022-09-24,FND0032,PAR00122,CUAD008,PROD022,LC-2022-001198,2022,13078.65,1151.05,148.19,13465.5
1209,20220727,2022-07-27,FND0032,PAR00124,CUAD014,PROD022,LC-2022-001209,2022,8138.07,689.48,109.29,8304.05
1214,20220907,2022-09-07,FND0032,PAR00124,CUAD002,PROD022,LC-2022-001214,2022,8590.45,490.28,106.74,6406.86
1218,20221025,2022-10-25,FND0032,PAR00124,CUAD013,PROD022,LC-2022-001218,2022,5645.91,380.28,66.85,3315.12
1237,20221105,2022-11-05,FND0033,PAR00126,CUAD003,PROD023,LC-2022-001237,2022,15455.43,1399.63,165.65,12429.01
1238,20221229,2022-12-29,FND0033,PAR00126,CUAD013,PROD023,LC-2022-001238,2022,7724.5,779.77,91.35,7861.07
1262,20220624,2022-06-24,FND0034,PAR00129,CUAD007,PROD024,LC-2022-001262,2022,5463.28,210.74,57.84,4169.81
1283,20220715,2022-07-15,FND0035,PAR00133,CUAD004,PROD024,LC-2022-001283,2022,15603.15,822.22,151.29,10140.05
1324,20220822,2022-08-22,FND0035,PAR00136,CUAD001,PROD024,LC-2022-001324,2022,4834.24,289.21,75.39,3356.03
1327,20220914,2022-09-14,FND0035,PAR00136,CUAD008,PROD024,LC-2022-001327,2022,18944.22,1512.82,213.17,15875.96
1329,20220916,2022-09-16,FND0035,PAR00136,CUAD018,PROD024,LC-2022-001329,2022,6697.11,472.89,96.37,5238.99
1347,20220509,2022-05-09,FND0036,PAR00138,CUAD002,PROD025,LC-2022-001347,2022,21025.71,1531.62,186.49,16943.14
1352,20220801,2022-08-01,FND0036,PAR00138,CUAD001,PROD025,LC-2022-001352,2022,16284.44,844.41,195.0,16957.75
1356,20220929,2022-09-29,FND0036,PAR00138,CUAD013,PROD025,LC-2022-001356,2022,10697.86,977.78,130.55,7389.58
1359,20221116,2022-11-16,FND0036,PAR00138,CUAD009,PROD025,LC-2022-001359,2022,8739.16,282.28,96.52,6848.88
1373,20220722,2022-07-22,FND0038,PAR00141,CUAD015,PROD027,LC-2022-001373,2022,12718.64,776.35,116.48,9556.57
1374,20220816,2022-08-16,FND0038,PAR00141,CUAD009,PROD027,LC-2022-001374,2022,7845.92,597.91,104.15,5013.35
1384,20220901,2022-09-01,FND0038,PAR00143,CUAD007,PROD027,LC-2022-001384,2022,24556.56,1240.42,260.18,20233.33
1386,20220101,2022-01-01,FND0038,PAR00144,CUAD018,PROD027,LC-2022-001386,2022,1125.55,84.35,10.36,931.33
1394,20220728,2022-07-28,FND0038,PAR00144,CUAD006,PROD027,LC-2022-001394,2022,1653.72,83.08,16.56,1049.9
1409,20221231,2022-12-31,FND0038,PAR00144,CUAD006,PROD027,LC-2022-001409,2022,10652.56,800.72,135.49,10689.85
1414,20221026,2022-10-26,FND0039,PAR00145,CUAD018,PROD027,LC-2022-001414,2022,3517.24,384.19,49.6,2245.36
1415,20220113,2022-01-13,FND0039,PAR00146,CUAD012,PROD027,LC-2022-001415,2022,6760.21,522.67,82.93,6070.99
1419,20220621,2022-06-21,FND0039,PAR00146,CUAD001,PROD027,LC-2022-001419,2022,2315.9,196.79,30.76,1887.34
1428,20220913,2022-09-13,FND0039,PAR00146,CUAD014,PROD027,LC-2022-001428,2022,16595.86,720.19,265.35,12494.17
1434,20221219,2022-12-19,FND0039,PAR00146,CUAD013,PROD027,LC-2022-001434,2022,1383.03,125.23,15.02,1198.0
1454,20221029,2022-10-29,FND0039,PAR00148,CUAD018,PROD027,LC-2022-001454,2022,5304.49,196.86,51.17,4156.17
1458,20220809,2022-08-09,FND0040,PAR00152,CUAD017,PROD028,LC-2022-001458,2022,8378.46,672.42,93.3,6302.79
1483,20220624,2022-06-24,FND0040,PAR00157,CUAD011,PROD028,LC-2022-001483,2022,2039.0,144.24,26.87,1845.57
1484,20220728,2022-07-28,FND0040,PAR00157,CUAD018,PROD028,LC-2022-001484,2022,4663.89,286.25,46.97,3085.41
1490,20220514,2022-05-14,FND0041,PAR00159,CUAD010,PROD028,LC-2022-001490,2022,11437.61,627.06,126.67,10437.29
1492,20220607,2022-06-07,FND0041,PAR00159,CUAD004,PROD028,LC-2022-001492,2022,2888.59,96.89,25.14,2267.71
1494,20220629,2022-06-29,FND0041,PAR00159,CUAD010,PROD028,LC-2022-001494,2022,2995.46,132.53,44.33,3167.45
1499,20220804,2022-08-04,FND0041,PAR00159,CUAD005,PROD028,LC-2022-001499,2022,8782.62,615.07,109.18,6790.03
1509,20220503,2022-05-03,FND0041,PAR00160,CUAD010,PROD028,LC-2022-001509,2022,13761.2,460.69,145.14,12152.08
1513,20220926,2022-09-26,FND0041,PAR00160,CUAD013,PROD028,LC-2022-001513,2022,4476.18,59.89,59.74,3712.71
1517,20220720,2022-07-20,FND0041,PAR00161,CUAD010,PROD028,LC-2022-001517,2022,6109.92,472.22,59.6,6218.76
1521,20220919,2022-09-19,FND0041,PAR00161,CUAD012,PROD028,LC-2022-001521,2022,1561.03,102.73,20.94,1303.2
1576,20220823,2022-08-23,FND0042,PAR00165,CUAD013,PROD028,LC-2022-001576,2022,9816.31,459.88,81.82,7528.48
1580,20220921,2022-09-21,FND0042,PAR00165,CUAD002,PROD028,LC-2022-001580,2022,14537.79,868.42,177.84,10675.19
1587,20220615,2022-06-15,FND0042,PAR00166,CUAD011,PROD028,LC-2022-001587,2022,4008.25,253.8,38.09,4031.27
1594,20220811,2022-08-11,FND0042,PAR00166,CUAD009,PROD028,LC-2022-001594,2022,4162.98,451.35,47.15,3710.07
1600,20221102,2022-11-02,FND0042,PAR00166,CUAD018,PROD028,LC-2022-001600,2022,8209.65,682.71,69.51,8468.24
1603,20220624,2022-06-24,FND0042,PAR00170,CUAD013,PROD028,LC-2022-001603,2022,9133.3,852.13,151.75,7453.57
1618,20220705,2022-07-05,FND0042,PAR00171,CUAD015,PROD028,LC-2022-001618,2022,3510.92,114.09,40.77,2860.01
1622,20220816,2022-08-16,FND0042,PAR00171,CUAD010,PROD028,LC-2022-001622,2022,4199.22,285.22,79.32,3409.33
1624,20220822,2022-08-22,FND0042,PAR00171,CUAD004,PROD028,LC-2022-001624,2022,12370.07,798.06,116.88,10316.03
1635,20220506,2022-05-06,FND0042,PAR00172,CUAD003,PROD028,LC-2022-001635,2022,13286.51,720.84,111.41,9777.29
1644,20220831,2022-08-31,FND0042,PAR00172,CUAD018,PROD028,LC-2022-001644,2022,15910.74,1114.84,153.49,14383.68
1651,20221202,2022-12-02,FND0042,PAR00172,CUAD001,PROD028,LC-2022-001651,2022,12514.28,335.87,189.91,12225.52
1656,20220701,2022-07-01,FND0043,PAR00173,CUAD009,PROD028,LC-2022-001656,2022,4678.1,334.9,68.34,3289.5
1660,20220905,2022-09-05,FND0043,PAR00173,CUAD018,PROD028,LC-2022-001660,2022,9806.17,536.04,119.61,8934.51
1663,20221125,2022-11-25,FND0043,PAR00173,CUAD007,PROD028,LC-2022-001663,2022,14327.82,965.76,202.52,12945.9
1666,20220503,2022-05-03,FND0043,PAR00174,CUAD005,PROD028,LC-2022-001666,2022,4178.77,360.99,39.09,3831.23
1671,20220716,2022-07-16,FND0043,PAR00174,CUAD004,PROD028,LC-2022-001671,2022,9843.09,841.93,98.08,8082.27
1684,20220625,2022-06-25,FND0043,PAR00175,CUAD018,PROD028,LC-2022-001684,2022,1534.14,44.23,17.74,1287.14
1685,20220726,2022-07-26,FND0043,PAR00175,CUAD007,PROD028,LC-2022-001685,2022,16810.58,565.13,156.56,16440.28
1689,20220124,2022-01-24,FND0043,PAR00176,CUAD014,PROD028,LC-2022-001689,2022,7634.37,465.2,87.1,5712.94
1698,20220914,2022-09-14,FND0043,PAR00176,CUAD013,PROD028,LC-2022-001698,2022,2069.92,96.76,21.75,1668.27
1702,20221122,2022-11-22,FND0043,PAR00176,CUAD008,PROD028,LC-2022-001702,2022,23632.1,1226.51,321.46,17291.2
1706,20220524,2022-05-24,FND0044,PAR00177,CUAD005,PROD029,LC-2022-001706,2022,1692.24,100.61,21.29,1526.74
1731,20220601,2022-06-01,FND0044,PAR00178,CUAD011,PROD029,LC-2022-001731,2022,4305.44,258.54,58.71,3963.25
1740,20220823,2022-08-23,FND0044,PAR00178,CUAD007,PROD029,LC-2022-001740,2022,915.94,22.23,17.3,879.48
1741,20220825,2022-08-25,FND0044,PAR00178,CUAD013,PROD029,LC-2022-001741,2022,10849.66,376.44,124.98,8702.02
1744,20220915,2022-09-15,FND0044,PAR00178,CUAD008,PROD029,LC-2022-001744,2022,9447.98,716.09,121.93,7552.55
1745,20220915,2022-09-15,FND0044,PAR00178,CUAD010,PROD029,LC-2022-001745,2022,11041.36,634.02,110.33,8148.41
1748,20221031,2022-10-31,FND0044,PAR00178,CUAD010,PROD029,LC-2022-001748,2022,6389.8,197.76,62.41,4946.88
1767,20220805,2022-08-05,FND0045,PAR00180,CUAD018,PROD030,LC-2022-001767,2022,23168.15,1663.65,265.8,16931.57
1769,20220826,2022-08-26,FND0045,PAR00180,CUAD010,PROD030,LC-2022-001769,2022,16157.83,236.27,183.17,12946.57
1784,20220806,2022-08-06,FND0045,PAR00181,CUAD001,PROD030,LC-2022-001784,2022,2572.41,123.66,23.48,2186.01
1792,20221111,2022-11-11,FND0045,PAR00181,CUAD009,PROD030,LC-2022-001792,2022,7591.64,609.48,87.48,6245.1
1796,20220512,2022-05-12,FND0045,PAR00183,CUAD015,PROD030,LC-2022-001796,2022,22301.08,1916.09,310.59,15223.34
1800,20220702,2022-07-02,FND0045,PAR00183,CUAD012,PROD030,LC-2022-001800,2022,10991.46,726.99,143.35,9586.8
1808,20220914,2022-09-14,FND0045,PAR00183,CUAD018,PROD030,LC-2022-001808,2022,9637.08,453.31,109.49,7581.03
1840,20220712,2022-07-12,FND0045,PAR00185,CUAD006,PROD030,LC-2022-001840,2022,9462.38,795.25,86.14,8563.56
1845,20220902,2022-09-02,FND0045,PAR00185,CUAD009,PROD030,LC-2022-001845,2022,11204.52,1327.43,96.66,7588.44
1881,20220705,2022-07-05,FND0046,PAR00189,CUAD012,PROD030,LC-2022-001881,2022,27835.24,2106.92,535.92,22756.15
1951,20220824,2022-08-24,FND0047,PAR00195,CUAD007,PROD030,LC-2022-001951,2022,15613.88,1317.72,154.04,11138.12
1956,20220531,2022-05-31,FND0048,PAR00196,CUAD016,PROD031,LC-2022-001956,2022,3666.54,203.47,36.63,3475.57
1965,20220924,2022-09-24,FND0048,PAR00196,CUAD010,PROD031,LC-2022-001965,2022,15161.52,699.53,198.98,12493.22
1982,20220707,2022-07-07,FND0048,PAR00198,CUAD007,PROD031,LC-2022-001982,2022,5771.37,413.91,63.58,4173.73
1984,20220721,2022-07-21,FND0048,PAR00198,CUAD014,PROD031,LC-2022-001984,2022,10196.87,678.49,124.07,9105.5
1985,20220723,2022-07-23,FND0048,PAR00198,CUAD010,PROD031,LC-2022-001985,2022,4072.84,288.77,46.09,3297.0
